id,formula_cal_id,val_pos,value,created
1,2,2,4.0,2023-05-25 12:24:43
2,2,6,4.0,2023-05-25 12:24:43
3,2,8,4.0,2023-05-25 12:24:43
4,3,2,6.0,2023-05-25 12:24:50
5,3,6,5.0,2023-05-25 12:24:50
6,3,8,4.0,2023-05-25 12:24:50
7,4,2,4.0,2023-05-25 12:24:57
8,4,6,6.0,2023-05-25 12:24:57
9,4,8,3.0,2023-05-25 12:24:57
10,5,2,3.0,2023-05-25 12:25:04
11,5,6,6.0,2023-05-25 12:25:04
12,5,8,4.0,2023-05-25 12:25:04
13,6,2,5.0,2023-05-25 12:25:11
14,6,6,5.0,2023-05-25 12:25:11
15,6,8,3.0,2023-05-25 12:25:11
16,7,2,3.0,2023-05-25 12:25:18
17,7,6,3.0,2023-05-25 12:25:18
18,7,8,5.0,2023-05-25 12:25:18
19,8,2,3.0,2023-05-25 12:25:25
20,8,6,6.0,2023-05-25 12:25:25
21,8,8,4.0,2023-05-25 12:25:25
22,9,2,3.0,2023-05-25 12:25:32
23,9,6,5.0,2023-05-25 12:25:32
24,9,8,3.0,2023-05-25 12:25:32
25,10,2,3.0,2023-05-25 12:25:39
26,10,6,3.0,2023-05-25 12:25:39
27,10,8,4.0,2023-05-25 12:25:39
28,11,2,4.0,2023-05-25 12:25:46
29,11,6,3.0,2023-05-25 12:25:46
30,11,8,3.0,2023-05-25 12:25:46
31,12,2,7.0,2023-05-25 12:25:53
32,12,6,5.0,2023-05-25 12:25:53
33,12,8,3.0,2023-05-25 12:25:53
34,13,2,3.0,2023-05-25 12:26:00
35,13,6,3.0,2023-05-25 12:26:00
36,13,8,4.0,2023-05-25 12:26:00
37,14,2,4.0,2023-05-25 12:26:07
38,14,6,3.0,2023-05-25 12:26:07
39,14,8,3.0,2023-05-25 12:26:07
40,15,2,4.0,2023-05-25 12:26:14
41,15,6,3.0,2023-05-25 12:26:14
42,15,8,3.0,2023-05-25 12:26:14
43,16,2,5.0,2023-05-25 12:26:21
44,16,6,3.0,2023-05-25 12:26:21
45,16,8,3.0,2023-05-25 12:26:21
