id,formula_cal_id,val_pos,value,created
1,1,2,5.0,2023-08-08 12:57:55
2,1,6,6.0,2023-08-08 12:57:55
3,2,2,5.0,2023-08-08 12:58:04
4,2,6,8.0,2023-08-08 12:58:04
5,3,2,9.0,2023-08-08 12:58:16
6,3,6,10.0,2023-08-08 12:58:16
7,4,2,6.0,2023-08-08 12:58:24
8,4,6,6.0,2023-08-08 12:58:24
9,5,2,7.0,2023-08-08 12:58:36
10,5,6,12.0,2023-08-08 12:58:36
11,6,2,4.0,2023-08-08 12:58:55
12,6,6,10.0,2023-08-08 12:58:55
13,7,2,3.0,2023-08-08 12:59:04
14,7,6,18.0,2023-08-08 12:59:04
15,8,2,10.0,2023-08-08 12:59:14
16,8,6,9.0,2023-08-08 12:59:14
17,9,2,4.0,2023-08-08 12:59:24
18,9,6,7.0,2023-08-08 12:59:24
19,10,2,4.0,2023-08-08 12:59:34
20,10,6,5.0,2023-08-08 12:59:34
21,11,2,5.0,2023-08-08 12:59:46
22,11,6,4.0,2023-08-08 12:59:46
23,12,2,5.0,2023-08-08 13:00:04
24,12,6,7.0,2023-08-08 13:00:04
25,13,2,13.0,2023-08-08 13:00:16
26,13,6,17.0,2023-08-08 13:00:16
27,14,2,10.0,2023-08-08 13:00:34
28,14,6,4.0,2023-08-08 13:00:34
29,15,2,10.0,2023-08-08 13:00:46
30,15,6,11.0,2023-08-08 13:00:46
