id,formula_cal_id,val_pos,value,created
1,1,2,2.0,2023-08-18 00:49:22
2,2,2,2.0,2023-08-18 00:49:30
3,3,2,2.0,2023-08-18 00:49:38
4,4,2,2.0,2023-08-18 00:49:46
5,6,2,3.0,2023-08-18 00:50:02
6,7,2,1.0,2023-08-18 00:50:10
7,8,2,6.0,2023-08-18 00:50:18
8,9,2,1.0,2023-08-18 00:50:26
9,10,2,1.0,2023-08-18 00:50:34
10,11,2,1.0,2023-08-18 00:50:42
11,12,2,2.0,2023-08-18 00:50:50
12,13,2,2.0,2023-08-18 00:50:58
13,15,2,1.0,2023-08-18 00:51:14
14,16,2,2.0,2023-08-18 00:51:22
15,17,2,1.0,2023-08-18 00:51:30
