id,formula_cal_id,val_pos,value,created
1,2,2,7.0,2023-08-18 00:49:28
2,3,2,6.0,2023-08-18 00:49:36
3,4,2,6.0,2023-08-18 00:49:45
4,5,2,6.0,2023-08-18 00:49:55
5,6,2,6.0,2023-08-18 00:50:03
6,7,2,6.0,2023-08-18 00:50:13
7,8,2,7.0,2023-08-18 00:50:22
8,9,2,7.0,2023-08-18 00:50:31
9,10,2,6.0,2023-08-18 00:50:39
10,11,2,6.0,2023-08-18 00:50:49
11,12,2,6.0,2023-08-18 00:50:58
12,13,2,6.0,2023-08-18 00:51:07
13,14,2,7.0,2023-08-18 00:51:16
14,15,2,6.0,2023-08-18 00:51:24
15,16,2,6.0,2023-08-18 00:51:33
