id,formula_cal_id,val_pos,value,created
1,2,2,5.0,2023-08-16 23:35:09
2,3,2,8.0,2023-08-16 23:35:18
3,4,2,7.0,2023-08-16 23:35:27
4,5,2,8.0,2023-08-16 23:35:36
5,6,2,13.0,2023-08-16 23:35:45
6,7,2,5.0,2023-08-16 23:35:54
7,8,2,2.0,2023-08-16 23:36:03
8,9,2,4.0,2023-08-16 23:36:12
9,10,2,6.0,2023-08-16 23:36:21
10,11,2,8.0,2023-08-16 23:36:30
11,12,2,2.0,2023-08-16 23:36:39
12,13,2,8.0,2023-08-16 23:36:48
13,14,2,11.0,2023-08-16 23:36:57
14,15,2,6.0,2023-08-16 23:37:06
15,16,2,2.0,2023-08-16 23:37:15
