id,formula_cal_id,val_pos,value,created,status
1,3,2,9.0,2023-08-25 14:59:44,1
2,4,2,11.0,2023-08-25 14:59:53,1
3,5,2,11.0,2023-08-25 15:00:04,1
4,6,2,10.0,2023-08-25 15:00:11,1
5,7,2,11.0,2023-08-25 15:00:21,1
6,8,2,9.0,2023-08-25 15:00:29,1
7,9,2,10.0,2023-08-25 15:00:38,1
8,10,2,9.0,2023-08-25 15:00:48,1
9,11,2,10.0,2023-08-25 15:00:56,1
10,12,2,11.0,2023-08-25 15:01:05,1
11,13,2,10.0,2023-08-25 15:01:16,1
12,14,2,11.0,2023-08-25 15:01:24,1
13,15,2,10.0,2023-08-25 15:01:33,1
14,16,2,9.0,2023-08-25 15:01:42,1
15,17,2,12.0,2023-08-25 15:01:52,1
