id,formula_cal_id,val_pos,value,created
1,1,2,5.0,2023-08-08 12:57:59
2,2,2,14.0,2023-08-08 12:58:08
3,3,2,9.0,2023-08-08 12:58:17
4,4,2,13.0,2023-08-08 12:58:26
5,5,2,13.0,2023-08-08 12:58:35
6,6,2,11.0,2023-08-08 12:58:44
7,7,2,2.0,2023-08-08 12:58:53
8,8,2,10.0,2023-08-08 12:59:02
9,9,2,7.0,2023-08-08 12:59:11
10,10,2,7.0,2023-08-08 12:59:20
11,11,2,8.0,2023-08-08 12:59:29
12,12,2,7.0,2023-08-08 12:59:38
13,13,2,9.0,2023-08-08 12:59:47
14,14,2,1.0,2023-08-08 12:59:56
15,15,2,8.0,2023-08-08 13:00:05
