id,formula_cal_id,val_pos,value,created
1,1,2,7.0,2023-08-16 23:45:08
2,2,2,7.0,2023-08-16 23:45:17
3,3,2,9.0,2023-08-16 23:45:26
4,4,2,9.0,2023-08-16 23:45:35
5,5,2,8.0,2023-08-16 23:45:44
6,6,2,10.0,2023-08-16 23:45:53
7,7,2,2.0,2023-08-16 23:46:02
8,8,2,10.0,2023-08-16 23:46:11
9,9,2,5.0,2023-08-16 23:46:20
10,10,2,8.0,2023-08-16 23:46:29
11,11,2,10.0,2023-08-16 23:46:38
12,12,2,12.0,2023-08-16 23:46:47
13,13,2,6.0,2023-08-16 23:46:56
14,14,2,10.0,2023-08-16 23:47:05
15,15,2,5.0,2023-08-16 23:47:14
