id,formula_cal_id,val_pos,value,created
1,2,2,8.0,2023-08-24 00:24:09
2,3,2,8.0,2023-08-24 00:24:17
3,4,2,8.0,2023-08-24 00:24:27
4,5,2,4.0,2023-08-24 00:24:37
5,7,2,9.0,2023-08-24 00:24:59
6,8,2,7.0,2023-08-24 00:25:08
7,9,2,8.0,2023-08-24 00:25:19
8,10,2,8.0,2023-08-24 00:25:29
9,11,2,9.0,2023-08-24 00:25:37
10,12,2,6.0,2023-08-24 00:25:47
11,13,2,5.0,2023-08-24 00:25:58
12,14,2,8.0,2023-08-24 00:26:07
13,15,2,4.0,2023-08-24 00:26:19
14,16,2,10.0,2023-08-24 00:26:29
15,17,2,9.0,2023-08-24 00:26:37
