id,formula_cal_id,val_pos,value,created
1,1,2,7.0,2023-08-16 23:45:13
2,2,2,7.0,2023-08-16 23:45:29
3,3,2,8.0,2023-08-16 23:45:47
4,4,2,9.0,2023-08-16 23:46:05
5,5,2,7.0,2023-08-16 23:46:14
6,6,2,6.0,2023-08-16 23:46:24
7,7,2,8.0,2023-08-16 23:46:32
8,8,2,6.0,2023-08-16 23:46:42
9,9,2,6.0,2023-08-16 23:47:01
10,10,2,10.0,2023-08-16 23:47:18
11,11,2,6.0,2023-08-16 23:47:27
12,12,2,6.0,2023-08-16 23:47:45
13,13,2,6.0,2023-08-16 23:48:02
14,14,2,7.0,2023-08-16 23:48:21
15,15,2,6.0,2023-08-16 23:48:39
