id,formula_cal_id,val_pos,value,created
1,2,2,11.0,2023-08-18 00:57:52
2,3,2,7.0,2023-08-18 00:58:00
3,4,2,10.0,2023-08-18 00:58:08
4,5,2,7.0,2023-08-18 00:58:16
5,6,2,7.0,2023-08-18 00:58:24
6,7,2,11.0,2023-08-18 00:58:32
7,8,2,8.0,2023-08-18 00:58:40
8,9,2,9.0,2023-08-18 00:58:48
9,10,2,7.0,2023-08-18 00:58:56
10,11,2,9.0,2023-08-18 00:59:04
11,12,2,7.0,2023-08-18 00:59:12
12,13,2,11.0,2023-08-18 00:59:20
13,14,2,9.0,2023-08-18 00:59:28
14,15,2,8.0,2023-08-18 00:59:36
15,16,2,8.0,2023-08-18 00:59:44
