id,formula_cal_id,val_pos,value,created
1,1,2,11.0,2023-08-24 01:20:07
2,2,2,11.0,2023-08-24 01:20:23
3,3,2,12.0,2023-08-24 01:20:42
4,4,2,2.0,2023-08-24 01:20:57
5,5,2,10.0,2023-08-24 01:21:18
6,6,2,13.0,2023-08-24 01:21:36
7,7,2,13.0,2023-08-24 01:21:54
8,8,2,13.0,2023-08-24 01:22:15
9,9,2,11.0,2023-08-24 01:22:38
10,10,2,6.0,2023-08-24 01:22:59
11,11,2,18.0,2023-08-24 01:23:16
12,12,2,19.0,2023-08-24 01:23:35
13,13,2,6.0,2023-08-24 01:23:50
14,14,2,10.0,2023-08-24 01:24:10
15,15,2,10.0,2023-08-24 01:24:27
