id,formula_cal_id,val_pos,value,created,status
1,2,2,7.0,2023-08-25 14:18:25,
2,3,2,9.0,2023-08-25 14:18:34,
3,4,2,11.0,2023-08-25 14:18:43,
4,5,2,7.0,2023-08-25 14:18:52,
5,6,2,10.0,2023-08-25 14:19:01,
6,7,2,8.0,2023-08-25 14:19:10,
7,8,2,10.0,2023-08-25 14:19:19,
8,9,2,8.0,2023-08-25 14:19:28,
9,10,2,10.0,2023-08-25 14:19:37,
10,11,2,7.0,2023-08-25 14:19:46,
11,12,2,13.0,2023-08-25 14:19:55,
12,13,2,7.0,2023-08-25 14:20:04,
13,14,2,7.0,2023-08-25 14:20:13,
14,15,2,10.0,2023-08-25 14:20:22,
15,16,2,8.0,2023-08-25 14:20:31,
