id,formula_cal_id,val_pos,value,created
1,3,2,3.0,2023-05-27 14:25:58
2,4,2,16.0,2023-05-27 14:26:04
3,5,2,9.0,2023-05-27 14:26:10
4,7,2,11.0,2023-05-27 14:26:22
5,8,2,9.0,2023-05-27 14:26:28
6,9,2,4.0,2023-05-27 14:26:34
7,10,2,14.0,2023-05-27 14:26:40
8,12,2,4.0,2023-05-27 14:26:52
9,13,2,7.0,2023-05-27 14:26:58
10,14,2,3.0,2023-05-27 14:27:04
11,16,2,15.0,2023-05-27 14:27:16
12,17,2,8.0,2023-05-27 14:27:22
13,19,2,9.0,2023-05-27 14:27:34
14,20,2,3.0,2023-05-27 14:27:40
15,21,2,5.0,2023-05-27 14:27:46
