id,formula_cal_id,val_pos,value,created
1,4,2,1.0,2023-08-24 01:20:14
2,5,2,4.0,2023-08-24 01:20:23
3,6,2,12.0,2023-08-24 01:20:32
4,7,2,8.0,2023-08-24 01:20:41
5,8,2,11.0,2023-08-24 01:20:50
6,9,2,6.0,2023-08-24 01:20:59
7,10,2,6.0,2023-08-24 01:21:08
8,11,2,8.0,2023-08-24 01:21:17
9,12,2,9.0,2023-08-24 01:21:26
10,13,2,3.0,2023-08-24 01:21:35
11,14,2,10.0,2023-08-24 01:21:44
12,15,2,5.0,2023-08-24 01:21:53
13,16,2,10.0,2023-08-24 01:22:02
14,17,2,13.0,2023-08-24 01:22:11
15,18,2,10.0,2023-08-24 01:22:20
