id,formula_cal_id,val_pos,value,created
1,1,2,9.0,2023-08-16 22:56:58
2,2,2,13.0,2023-08-16 22:57:10
3,3,2,7.0,2023-08-16 22:57:14
4,4,2,10.0,2023-08-16 22:57:20
5,5,2,9.0,2023-08-16 22:57:26
6,6,2,6.0,2023-08-16 22:57:32
7,7,2,8.0,2023-08-16 22:57:39
8,8,2,8.0,2023-08-16 22:57:44
9,9,2,2.0,2023-08-16 22:57:51
10,10,2,9.0,2023-08-16 22:57:56
11,11,2,15.0,2023-08-16 22:58:03
12,12,2,8.0,2023-08-16 22:58:09
13,13,2,10.0,2023-08-16 22:58:15
14,14,2,5.0,2023-08-16 22:58:20
15,15,2,10.0,2023-08-16 22:58:27
