id,formula_cal_id,val_pos,value,created
1,1,2,18.0,2023-05-25 12:24:39
2,1,6,14.0,2023-05-25 12:24:39
3,2,2,12.0,2023-05-25 12:24:46
4,2,6,6.0,2023-05-25 12:24:46
5,3,2,12.0,2023-05-25 12:24:53
6,3,6,6.0,2023-05-25 12:24:53
7,5,2,12.0,2023-05-25 12:25:07
8,5,6,11.0,2023-05-25 12:25:07
9,6,2,6.0,2023-05-25 12:25:14
10,6,6,12.0,2023-05-25 12:25:14
11,7,2,9.0,2023-05-25 12:25:21
12,7,6,12.0,2023-05-25 12:25:21
13,8,2,5.0,2023-05-25 12:25:28
14,8,6,9.0,2023-05-25 12:25:28
15,9,2,5.0,2023-05-25 12:25:35
16,9,6,3.0,2023-05-25 12:25:35
17,10,2,14.0,2023-05-25 12:25:42
18,10,6,12.0,2023-05-25 12:25:42
19,11,2,11.0,2023-05-25 12:25:49
20,11,6,5.0,2023-05-25 12:25:49
21,12,2,10.0,2023-05-25 12:25:56
22,12,6,8.0,2023-05-25 12:25:56
23,13,2,9.0,2023-05-25 12:26:03
24,13,6,11.0,2023-05-25 12:26:03
25,14,2,6.0,2023-05-25 12:26:10
26,14,6,4.0,2023-05-25 12:26:10
27,15,2,5.0,2023-05-25 12:26:17
28,15,6,5.0,2023-05-25 12:26:17
29,16,2,4.0,2023-05-25 12:26:24
30,16,6,9.0,2023-05-25 12:26:24
