id,formula_cal_id,val_pos,value,created
1,1,2,5.0,2023-05-27 14:25:48
2,2,2,5.0,2023-05-27 14:25:56
3,3,2,5.0,2023-05-27 14:26:04
4,4,2,5.0,2023-05-27 14:26:12
5,5,2,5.0,2023-05-27 14:26:20
6,6,2,5.0,2023-05-27 14:26:28
7,7,2,6.0,2023-05-27 14:26:36
8,8,2,5.0,2023-05-27 14:26:44
9,9,2,5.0,2023-05-27 14:26:52
10,10,2,5.0,2023-05-27 14:27:00
11,11,2,5.0,2023-05-27 14:27:08
12,12,2,6.0,2023-05-27 14:27:16
13,13,2,8.0,2023-05-27 14:27:24
14,14,2,5.0,2023-05-27 14:27:32
15,15,2,5.0,2023-05-27 14:27:40
