id,formula_cal_id,val_pos,value,created
1,1,2,10.0,2023-08-16 23:45:06
2,1,6,9.0,2023-08-16 23:45:06
3,1,8,5.0,2023-08-16 23:45:06
4,2,2,8.0,2023-08-16 23:45:16
5,2,6,1.0,2023-08-16 23:45:16
6,2,8,16.0,2023-08-16 23:45:16
7,3,2,1.0,2023-08-16 23:45:26
8,3,6,4.0,2023-08-16 23:45:26
9,3,8,11.0,2023-08-16 23:45:26
10,4,2,8.0,2023-08-16 23:45:36
11,4,6,4.0,2023-08-16 23:45:36
12,4,8,9.0,2023-08-16 23:45:36
13,5,2,13.0,2023-08-16 23:45:45
14,5,6,2.0,2023-08-16 23:45:45
15,5,8,10.0,2023-08-16 23:45:45
16,6,2,9.0,2023-08-16 23:45:55
17,6,6,8.0,2023-08-16 23:45:55
18,6,8,9.0,2023-08-16 23:45:55
19,7,2,6.0,2023-08-16 23:46:05
20,7,6,4.0,2023-08-16 23:46:05
21,7,8,9.0,2023-08-16 23:46:05
22,8,2,10.0,2023-08-16 23:46:15
23,8,6,3.0,2023-08-16 23:46:15
24,8,8,9.0,2023-08-16 23:46:15
25,9,2,3.0,2023-08-16 23:46:26
26,9,6,2.0,2023-08-16 23:46:26
27,9,8,10.0,2023-08-16 23:46:26
28,10,2,10.0,2023-08-16 23:46:35
29,10,6,12.0,2023-08-16 23:46:35
30,10,8,11.0,2023-08-16 23:46:35
31,11,2,9.0,2023-08-16 23:46:46
32,11,6,9.0,2023-08-16 23:46:46
33,11,8,10.0,2023-08-16 23:46:46
34,12,2,2.0,2023-08-16 23:46:55
35,12,6,5.0,2023-08-16 23:46:55
36,12,8,3.0,2023-08-16 23:46:55
37,13,2,7.0,2023-08-16 23:47:05
38,13,6,2.0,2023-08-16 23:47:05
39,13,8,10.0,2023-08-16 23:47:05
40,14,2,2.0,2023-08-16 23:47:15
41,14,6,1.0,2023-08-16 23:47:15
42,14,8,10.0,2023-08-16 23:47:15
43,15,2,9.0,2023-08-16 23:47:26
44,15,6,8.0,2023-08-16 23:47:26
45,15,8,9.0,2023-08-16 23:47:26
