id,formula_cal_id,val_pos,value,created
1,1,2,3.0,2023-08-24 00:23:41
2,2,2,3.0,2023-08-24 00:23:50
3,3,2,3.0,2023-08-24 00:23:59
4,4,2,4.0,2023-08-24 00:24:07
5,5,2,3.0,2023-08-24 00:24:16
6,6,2,3.0,2023-08-24 00:24:26
7,7,2,4.0,2023-08-24 00:24:35
8,8,2,4.0,2023-08-24 00:24:43
9,9,2,4.0,2023-08-24 00:24:52
10,10,2,4.0,2023-08-24 00:25:02
11,11,2,3.0,2023-08-24 00:25:09
12,12,2,3.0,2023-08-24 00:25:19
13,13,2,3.0,2023-08-24 00:25:28
14,14,2,4.0,2023-08-24 00:25:38
15,15,2,3.0,2023-08-24 00:25:47
