id,formula_cal_id,val_pos,value,created
1,1,2,4.0,2023-05-27 12:35:59
2,2,2,1.0,2023-05-27 12:36:06
3,3,2,1.0,2023-05-27 12:36:15
4,4,2,1.0,2023-05-27 12:36:23
5,5,2,1.0,2023-05-27 12:36:31
6,6,2,2.0,2023-05-27 12:36:39
7,7,2,1.0,2023-05-27 12:36:48
8,8,2,2.0,2023-05-27 12:36:56
9,9,2,1.0,2023-05-27 12:37:02
10,10,2,1.0,2023-05-27 12:37:12
11,11,2,2.0,2023-05-27 12:37:18
12,12,2,1.0,2023-05-27 12:37:26
13,13,2,1.0,2023-05-27 12:37:35
14,14,2,2.0,2023-05-27 12:37:42
15,15,2,1.0,2023-05-27 12:37:52
