id,formula_cal_id,val_pos,value,created
1,1,2,10.0,2023-08-24 00:23:52
2,2,2,8.0,2023-08-24 00:23:58
3,3,2,15.0,2023-08-24 00:24:04
4,4,2,5.0,2023-08-24 00:24:11
5,5,2,2.0,2023-08-24 00:24:17
6,6,2,7.0,2023-08-24 00:24:24
7,7,2,8.0,2023-08-24 00:24:28
8,8,2,8.0,2023-08-24 00:24:34
9,9,2,10.0,2023-08-24 00:24:42
10,10,2,5.0,2023-08-24 00:24:46
11,11,2,3.0,2023-08-24 00:24:52
12,12,2,8.0,2023-08-24 00:24:58
13,13,2,9.0,2023-08-24 00:25:04
14,14,2,14.0,2023-08-24 00:25:10
15,15,2,8.0,2023-08-24 00:25:18
