id,formula_cal_id,val_pos,value,created
1,1,2,3.0,2023-08-16 23:35:03
2,3,2,5.0,2023-08-16 23:35:21
3,4,2,5.0,2023-08-16 23:35:33
4,5,2,3.0,2023-08-16 23:35:45
5,6,2,3.0,2023-08-16 23:35:51
6,7,2,3.0,2023-08-16 23:36:03
7,8,2,3.0,2023-08-16 23:36:15
8,9,2,5.0,2023-08-16 23:36:21
9,10,2,3.0,2023-08-16 23:36:33
10,11,2,4.0,2023-08-16 23:36:45
11,12,2,3.0,2023-08-16 23:36:57
12,13,2,4.0,2023-08-16 23:37:09
13,14,2,4.0,2023-08-16 23:37:21
14,15,2,5.0,2023-08-16 23:37:27
15,16,2,5.0,2023-08-16 23:37:33
