id,formula,calculated,created
1,,8.8,2023-08-16 23:45:22
2,,5.714285714285714,2023-08-16 23:45:31
3,,16.666666666666668,2023-08-16 23:45:43
4,,8.8,2023-08-16 23:45:51
5,,11.7,2023-08-16 23:46:03
6,,4.5,2023-08-16 23:46:13
7,,32.0,2023-08-16 23:46:21
8,,8.88888888888889,2023-08-16 23:46:31
9,,5.538461538461538,2023-08-16 23:46:43
10,,16.0,2023-08-16 23:46:51
11,,4.909090909090909,2023-08-16 23:47:02
12,,13.333333333333332,2023-08-16 23:47:11
13,,4.307692307692308,2023-08-16 23:47:22
14,,4.0,2023-08-16 23:47:32
15,,36.0,2023-08-16 23:47:42
