id,formula_cal_id,val_pos,value,created,status
1,1,2,4.0,2023-08-25 14:18:21,
2,2,2,4.0,2023-08-25 14:18:27,
3,3,2,4.0,2023-08-25 14:18:34,
4,4,2,4.0,2023-08-25 14:18:39,
5,5,2,4.0,2023-08-25 14:18:47,
6,6,2,5.0,2023-08-25 14:18:52,
7,7,2,5.0,2023-08-25 14:18:59,
8,8,2,4.0,2023-08-25 14:19:05,
9,9,2,4.0,2023-08-25 14:19:11,
10,10,2,5.0,2023-08-25 14:19:17,
11,11,2,5.0,2023-08-25 14:19:22,
12,12,2,5.0,2023-08-25 14:19:27,
13,13,2,5.0,2023-08-25 14:19:33,
14,14,2,5.0,2023-08-25 14:19:41,
15,15,2,4.0,2023-08-25 14:19:47,
