id,formula_cal_id,val_pos,value,created
1,1,2,8.0,2023-08-16 23:45:22
2,2,2,10.0,2023-08-16 23:45:31
3,3,2,10.0,2023-08-16 23:45:43
4,4,2,11.0,2023-08-16 23:45:51
5,5,2,9.0,2023-08-16 23:46:03
6,6,2,12.0,2023-08-16 23:46:13
7,7,2,8.0,2023-08-16 23:46:21
8,8,2,8.0,2023-08-16 23:46:31
9,9,2,9.0,2023-08-16 23:46:43
10,10,2,8.0,2023-08-16 23:46:51
11,11,2,9.0,2023-08-16 23:47:02
12,12,2,8.0,2023-08-16 23:47:11
13,13,2,8.0,2023-08-16 23:47:22
14,14,2,8.0,2023-08-16 23:47:32
15,15,2,9.0,2023-08-16 23:47:42
