id,formula_cal_id,val_pos,value,created
1,3,2,14.0,2023-08-16 23:45:19
2,4,2,6.0,2023-08-16 23:45:27
3,5,2,13.0,2023-08-16 23:45:35
4,6,2,1.0,2023-08-16 23:45:43
5,7,2,10.0,2023-08-16 23:45:51
6,8,2,10.0,2023-08-16 23:45:59
7,10,2,15.0,2023-08-16 23:46:15
8,11,2,11.0,2023-08-16 23:46:23
9,12,2,3.0,2023-08-16 23:46:31
10,13,2,6.0,2023-08-16 23:46:39
11,14,2,9.0,2023-08-16 23:46:47
12,15,2,13.0,2023-08-16 23:46:55
13,16,2,18.0,2023-08-16 23:47:03
14,17,2,7.0,2023-08-16 23:47:11
15,18,2,9.0,2023-08-16 23:47:19
